,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
314,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.lizard_1.jhu.nicolet.spectrum.txt, lizard_1,Nic4,FALSE,z, phyllosilicate,mg3si2o5(oh)4, jhu,serpentine,lizardite
315,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.montmor_1.jhu.nicolet.spectrum.txt, montmor_1,Nic4,FALSE,z, phyllosilicate,"(na,ca)0.33(al,mg)2si4o10(oh)2.nh2o", jhu,smectite,montmorillonite
316,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.montmor_2.jhu.nicolet.spectrum.txt, montmor_2,Nic4,FALSE,z, phyllosilicate,"(na,ca)0.33(al,mg)2si4o10(oh)2.nh2o", jhu,smectite,montmorillonite
317,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.montmor_3.jhu.nicolet.spectrum.txt, montmor_3,Nic4,FALSE,z, phyllosilicate,"(na,ca)0.33(al,mg)2si4o10(oh)2.nh2o", jhu,smectite,montmorillonite
318,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.muscov_1.jhu.nicolet.spectrum.txt, muscov_1,Nic4,FALSE,z, phyllosilicate,"kal2(si3al)o10(oh,f)2", jhu,white-mica,muscovite
319,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.muscov_2.jhu.nicolet.spectrum.txt, muscov_2,Nic4,FALSE,z, phyllosilicate,"kal2(si3al)o10(oh,f)2", jhu,white-mica,muscovite
320,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.nontron_1.jhu.nicolet.spectrum.txt, nontron_1,Nic4,FALSE,z, phyllosilicate,"na0.33fe2+3(si,al)4o10.3h2o", jhu,smectite,nontronite
321,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.phlogop_1.jhu.nicolet.spectrum.txt, phlogop_1,Nic4,FALSE,z, phyllosilicate,"kmg3si3al010(f,oh)2", jhu,phlogopite,phlogopite
322,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.phlogop_2.jhu.nicolet.spectrum.txt, phlogop_2,Nic4,FALSE,z, phyllosilicate,oh)2, jhu,phlogopite,phlogopite
323,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.prehnite_1.jhu.nicolet.spectrum.txt, prehnite_1,Nic4,FALSE,z, phyllosilicate,ca2al2si3o10(oh)2, jhu,other-aloh,prehnite
324,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.pyroph_1.jhu.nicolet.spectrum.txt, pyroph_1,Nic4,FALSE,z, phyllosilicate,al2si4010(oh)2, jhu,other-aloh,pyrophyllite
