index,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
99,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.vswir.ps-9a.jpl.perkin.spectrum.txt, ps-9a,Perk,FALSE,z, phyllosilicate,lial_4(si_3al)o_10(oh)_8, jpl,chlorite,cookeite
100,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.medium.vswir.ps-9a.jpl.perkin.spectrum.txt, ps-9a,Perk,FALSE,z, phyllosilicate,lial_4(si_3al)o_10(oh)_8, jpl,chlorite,cookeite
101,Clinochlore_Fe_GDS157.b_ASDFRa_AREF.txt," gds157, gds157.b",ASDFR,TRUE,a, phyllosilicate," (Fe+2,Mg)5Al(Si3Al)O10(OH)8", usgs denver spectroscopy laboratory,chlorite,chlorite
102,Biotite_HS28.3B_BECKa_AREF.txt, hs28.3b,BECK,TRUE,a, phyllosilicate," K(Mg,Fe+2)3(Al,Fe+3)Si3O10(OH,F)2", usgs denver spectroscopy laboratory,dark-mica,biotite
103,Phlogopite_HS23.1B_ASDFRa_AREF.txt," hs23.1b, hs23.2b, hs23.3b, hs23.4b",ASDFR,TRUE,a, phyllosilicate," KMg3Si3AlO10(F,OH)2", usgs denver spectroscopy laboratory,dark-mica,phlogopite
104,Phlogopite_HS23.2B_ASDFRa_AREF.txt," hs23.1b, hs23.2b, hs23.3b, hs23.4b",ASDFR,TRUE,a, phyllosilicate," KMg3Si3AlO10(F,OH)2", usgs denver spectroscopy laboratory,dark-mica,phlogopite
105,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.vswir.ps-18b.jpl.perkin.spectrum.txt, ps-18b,Perk,FALSE,z, phyllosilicate,"(mg,fe^2+,al)_3(al,si)_4o_10(oh)_2.4h_2o", jpl,dark-mica,vermiculite
106,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-18b.jpl.perkin.spectrum.txt, ps-18b,Perk,FALSE,z, phyllosilicate,"(mg,fe^2+,al)_3(al,si)_4o_10(oh)_2.4h_2o", jpl,dark-mica,vermiculite
107,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.medium.vswir.ps-18b.jpl.perkin.spectrum.txt, ps-18b,Perk,FALSE,z, phyllosilicate,"(mg,fe^2+,al)_3(al,si)_4o_10(oh)_2.4h_2o", jpl,dark-mica,vermiculite
108,c:\2020\ecospeclib\mineral.silicate.sorosilicate.coarse.vswir.ss-1a.jpl.perkin.spectrum.txt, ss-1a,Perk,FALSE,z, sorosilicate,"ca_2(al,fe^3+)_3o.sio_4.si_2o_7.oh", jpl,epidote,epidote
